IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
2017496;Arbre;Jardin;PARIS 19E ARRDT;;;PROMENADE AMALIA RODRIGUES / 9 RUE DES MARCHAIS;0103083;Epicéa;Picea;pungens;;20;0;;NON;6864781.15389,656076.246999
2009289;Arbre;DJS;PARIS 18E ARRDT;;;CENTRE SPORTIF CHAMPIONNET / 172 RUE CHAMPIONNET;00660205;Epicéa;Picea;pungens;''Koster'';15;3;;NON;6866404.13589,651271.593999
2024427;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060155;Epicéa;Picea;pungens;;0;0;;NON;6858061.5309,660168.530999
160468;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE SAINT-OUEN NOUV / DIV 25;D00000025006;Epicéa;Picea;abies;;50;7;Jeune (arbre)Adulte;NON;6867889.8089,652427.344999
2024265;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801129;Epicéa;Picea;abies;;0;0;;NON;6858070.5719,660113.685999
2015703;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320012;Epicéa;Picea;abies;;120;18;Adulte;NON;6859679.2269,659198.939999
107703;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;P00612002;Epicéa;Picea;pungens f. Glauca;;105;16;Adulte;NON;6862115.52689,648437.260999
139252;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102003;Epicéa;Picea;abies;;90;15;Adulte;NON;6859753.91689,645311.708999
198038;Arbre;DJS;PARIS 13E ARRDT;;;CENTRE SPORTIF GEORGES CARPENTIER / 81 BOULEVARD MASSENA;00010432;Epicéa;Picea;n. sp.;;75;10;Jeune (arbre)Adulte;NON;6858012.75389,653572.902999
160473;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 167;D00000167027;Epicéa;Picea;abies;;65;8;;;6867589.74989,655953.856999
112196;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230019;Epicéa;Picea;n. sp.;;95;2;;;6864682.53189,654957.448999
2024275;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480637;Epicéa;Picea;orientalis;;0;0;;NON;6858056.72789,660123.077999
2030970;Arbre;Jardin;PARIS 16E ARRDT;Canton 02;;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;000208001;Epicéa;Picea;pungens;;15;2;Jeune (arbre);NON;6862572.0499,647726.993999
111621;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230024;Epicéa;Picea;abies;;20;4;;;6864677.01989,654967.404999
114124;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 05 - 54 à 68;;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000404075;Epicéa;Picea;pungens;;23;2;Jeune (arbre);NON;6863863.7479,647226.260999
2019625;Arbre;Jardin;BOIS DE VINCENNES;;;ECOLE DU BREUIL / ROUTE DE LA FERME;50050012;Epicéa;Picea;omorika;;45;6;Jeune (arbre);NON;6858267.1919,660290.068
160476;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 141;D00000141001;Epicéa;Picea;abies;;40;3;;;6866999.0909,656921.233
186304;Arbre;DASCO;PARIS 13E ARRDT;;;ECOLE MATERNELLE / 13 RUE LAHIRE;057502006;Epicéa;Picea;abies;;70;8;Jeune (arbre);NON;6858978.1559,653517.129999
